customer_id,date,channel,message,sentiment
C-001,2025-02-06,email,"We are seriously reconsidering our renewal due to recent service issues and delays.",very_negative
C-003,2025-02-07,email,"Your delivery delays are significantly impacting our project timeline and team productivity.",negative
C-004,2025-02-08,slack,"All good here! Great performance this month. Team is very happy with the system.",positive
C-005,2025-02-11,email,"Experiencing repeated issues. Need immediate resolution or we'll explore alternatives.",very_negative
C-002,2025-02-09,slack,"Quick question about the new features in the upcoming release.",neutral
C-007,2025-02-03,email,"This is unacceptable. Third outage this month. Our customers are complaining.",very_negative
C-006,2025-02-10,slack,"Thanks for the quick support response yesterday! Much appreciated.",positive
C-011,2025-02-05,email,"The vendor issues are cascading to our operations. We need compensation discussion.",negative
C-008,2025-02-12,email,"Interested in expanding our usage. Can we schedule a call?",positive
C-016,2025-02-09,slack,"Another delay notification? This is becoming a pattern we cannot ignore.",negative
C-010,2025-02-14,slack,"System is running smoothly. No complaints from our end.",positive
C-021,2025-02-04,email,"Vendor problems are directly affecting our SLAs to our customers. Critical situation.",very_negative
C-013,2025-02-15,email,"Can you provide a demo of the advanced analytics module?",neutral
C-026,2025-02-13,slack,"Supply chain issues on your end are hurting us. Need immediate action.",negative
C-012,2025-02-16,email,"Very satisfied with the platform capabilities and support team.",positive
C-032,2025-02-06,email,"Multiple vendor delays this quarter. This impacts our renewal decision.",negative
C-014,2025-02-17,slack,"Quick clarification on the API rate limits please.",neutral
C-036,2025-02-17,email,"Dashboard performance is degrading. Affecting daily operations.",negative
C-015,2025-02-18,email,"Excellent service as always. Team loves the new interface.",positive
C-046,2025-02-19,slack,"Another component shortage? How many more delays should we expect?",very_negative
C-017,2025-02-20,email,"Would like to discuss volume pricing for next year.",neutral
C-056,2025-02-21,slack,"Quality issues in recent deliveries. QA team has concerns.",negative
C-019,2025-02-22,email,"Platform stability has been excellent. Kudos to the team.",positive
C-067,2025-02-23,email,"Multiple vendors failing simultaneously. We're evaluating alternatives now.",very_negative
C-018,2025-02-24,slack,"Quick feature request for the roadmap consideration.",neutral
C-076,2025-02-25,email,"Continuous supply disruptions are forcing us to reconsider partnership.",negative
C-020,2025-02-26,email,"Great collaboration on the integration project. Moving forward smoothly.",positive
C-096,2025-01-15,slack,"Another quality issue reported by operations team.",negative
C-022,2025-01-16,email,"Can we schedule quarterly business review?",neutral
C-102,2025-01-17,email,"Frustrated with ongoing vendor coordination problems.",negative
C-023,2025-01-18,slack,"System uptime has been impressive this quarter!",positive
C-121,2025-01-19,email,"Supply issues are now critical. Need executive escalation.",very_negative
C-024,2025-01-20,email,"Interested in the enterprise tier features.",neutral
C-137,2025-01-21,slack,"Performance degradation affecting user experience.",negative
C-025,2025-01-22,email,"Thanks for addressing our concerns promptly.",positive
