ticket_id,customer_id,created_at,category,description,sentiment
T-1001,C-001,2025-02-01,Outage,"System outage during transaction sync - critical production issue",very_negative
T-1002,C-003,2025-02-03,Bug,"Data mismatch in analytics module causing incorrect reports",negative
T-1003,C-002,2025-02-05,Billing,"Need invoice correction for January billing period",neutral
T-1004,C-005,2025-02-10,Performance,"Dashboard loading very slow during peak hours",negative
T-1005,C-007,2025-02-02,Outage,"Complete service outage affecting all users - URGENT",very_negative
T-1006,C-011,2025-02-04,Bug,"Export functionality not working properly",negative
T-1007,C-004,2025-02-06,Feature_Request,"Request for additional reporting capabilities",positive
T-1008,C-016,2025-02-08,Performance,"API response times degraded significantly",negative
T-1009,C-021,2025-02-09,Outage,"Database connection failures intermittent",very_negative
T-1010,C-006,2025-02-11,Billing,"Question about upcoming renewal pricing",neutral
T-1011,C-026,2025-02-12,Bug,"Data synchronization issues between modules",negative
T-1012,C-008,2025-02-13,Feature_Request,"Would like custom dashboard widgets",positive
T-1013,C-032,2025-02-14,Performance,"Report generation timing out frequently",negative
T-1014,C-010,2025-02-15,Support,"Need help with user permissions setup",neutral
T-1015,C-036,2025-02-16,Bug,"Notification emails not being delivered",negative
T-1016,C-013,2025-02-17,Feature_Request,"Request API documentation improvements",positive
T-1017,C-046,2025-02-18,Outage,"Service completely unavailable since this morning",very_negative
T-1018,C-012,2025-02-19,Billing,"Need to update payment method",neutral
T-1019,C-056,2025-02-20,Performance,"Mobile app crashes during data entry",negative
T-1020,C-015,2025-02-21,Support,"Training request for new team members",positive
T-1021,C-067,2025-02-22,Bug,"Incorrect calculations in financial reports",very_negative
T-1022,C-009,2025-02-23,Feature_Request,"Integration with third-party tools needed",neutral
T-1023,C-076,2025-02-24,Performance,"System unresponsive during batch processing",negative
T-1024,C-014,2025-02-25,Support,"Help with data migration from old system",neutral
T-1025,C-096,2025-02-26,Bug,"User interface glitches on Safari browser",negative
T-1026,C-017,2025-01-15,Feature_Request,"Real-time collaboration features requested",positive
T-1027,C-102,2025-01-16,Outage,"Authentication service down - cannot login",very_negative
T-1028,C-019,2025-01-17,Billing,"Clarification needed on contract terms",neutral
T-1029,C-121,2025-01-18,Performance,"Slow search functionality across large datasets",negative
T-1030,C-018,2025-01-19,Support,"Best practices for workflow optimization",positive
T-1031,C-137,2025-01-20,Bug,"Duplicate records appearing in database",negative
T-1032,C-020,2025-01-21,Feature_Request,"Enhanced security features for compliance",neutral
T-1033,C-145,2025-01-22,Performance,"Backup process taking too long",negative
T-1034,C-022,2025-01-23,Support,"Need technical specifications for integration",neutral
T-1035,C-166,2025-01-24,Outage,"Email notification system completely broken",very_negative
T-1036,C-023,2025-01-25,Feature_Request,"Custom fields for customer data",positive
T-1037,C-194,2025-01-26,Bug,"Filter options not working correctly",negative
T-1038,C-025,2025-01-27,Billing,"Upgrade pricing information needed",neutral
T-1039,C-215,2025-01-28,Performance,"Page load times unacceptable",negative
T-1040,C-024,2025-01-29,Support,"Documentation for API endpoints",positive
T-1041,C-236,2025-01-30,Outage,"Critical system failure affecting all operations",very_negative
T-1042,C-027,2025-01-31,Feature_Request,"Multi-language support needed",neutral
T-1043,C-264,2025-02-01,Bug,"Data export contains corrupted files",negative
T-1044,C-028,2025-02-02,Support,"Onboarding assistance for new department",positive
T-1045,C-277,2025-02-03,Performance,"Dashboard widgets not refreshing",negative
T-1046,C-029,2025-02-04,Billing,"Invoice discrepancy needs resolution",neutral
T-1047,C-285,2025-02-05,Bug,"Permission settings not saving properly",negative
T-1048,C-031,2025-02-06,Feature_Request,"Advanced analytics capabilities",positive
T-1049,C-306,2025-02-07,Outage,"Server errors preventing data access",very_negative
T-1050,C-030,2025-02-08,Support,"Training materials for advanced features",neutral
