customer_id,name,usage_drop_pct,sentiment_score,ticket_volume_last_30d,last_ticket_sentiment,nps_score,contract_value,renewal_date
C-001,Acme Corp,42,-0.66,14,very_negative,4,65000,2025-03-01
C-002,BlueNova,10,0.21,3,neutral,32,120000,2025-06-15
C-003,TechSphere,28,-0.45,9,negative,15,87000,2025-02-27
C-004,HeliosPay,5,0.55,1,positive,55,204000,2025-10-01
C-005,DataFlow Ltd,33,-0.72,12,very_negative,2,48000,2025-04-21
C-006,Quantum Systems,8,0.68,2,positive,58,156000,2025-08-12
C-007,NexGen Solutions,45,-0.78,16,very_negative,1,92000,2025-01-19
C-008,CloudBase Inc,3,0.44,1,positive,48,178000,2025-09-23
C-009,VectorWorks,18,-0.33,6,negative,22,73000,2025-05-08
C-010,Pinnacle Tech,6,0.52,2,positive,51,198000,2025-11-30
C-011,Fusion Dynamics,38,-0.61,11,very_negative,7,54000,2025-02-14
C-012,Orbit Labs,12,0.15,4,neutral,35,142000,2025-07-22
C-013,Stellar Corp,2,0.71,0,positive,60,225000,2025-12-05
C-014,Phoenix Digital,25,-0.41,8,negative,18,68000,2025-04-03
C-015,Zenith Partners,7,0.58,1,positive,54,189000,2025-10-17
C-016,Cascade Networks,41,-0.69,13,very_negative,5,59000,2025-03-15
C-017,Vertex Solutions,9,0.28,3,neutral,38,128000,2025-06-28
C-018,Momentum Tech,4,0.62,1,positive,56,211000,2025-11-11
C-019,Synergy Systems,31,-0.52,10,negative,12,81000,2025-05-20
C-020,Prism Analytics,11,0.19,4,neutral,33,137000,2025-07-09
C-021,Apex Innovations,48,-0.81,18,very_negative,0,46000,2025-01-28
C-022,Horizon Group,5,0.47,2,positive,49,165000,2025-08-31
C-023,Eclipse Technologies,22,-0.38,7,negative,20,76000,2025-04-16
C-024,Titan Industries,8,0.65,1,positive,57,195000,2025-09-14
C-025,Nova Enterprises,14,0.11,5,neutral,29,115000,2025-06-05
C-026,Summit Digital,36,-0.58,11,very_negative,8,62000,2025-02-22
C-027,Catalyst Corp,6,0.51,2,positive,50,172000,2025-10-08
C-028,Meridian Systems,19,-0.35,6,negative,23,79000,2025-05-12
C-029,Atlas Technologies,3,0.69,1,positive,59,218000,2025-12-19
C-030,Ignition Labs,29,-0.48,9,negative,16,85000,2025-03-29
C-031,Nexus Partners,10,0.24,3,neutral,36,125000,2025-07-16
C-032,Quantum Leap,44,-0.75,15,very_negative,3,51000,2025-01-31
C-033,Velocity Corp,4,0.59,1,positive,53,182000,2025-09-27
C-034,Enigma Solutions,26,-0.44,8,negative,17,71000,2025-04-24
C-035,Polaris Group,7,0.56,2,positive,52,176000,2025-11-03
C-036,Fusion Point,39,-0.64,12,very_negative,6,57000,2025-02-09
C-037,Infinite Tech,13,0.17,4,neutral,34,134000,2025-07-01
C-038,Beacon Systems,5,0.48,1,positive,47,168000,2025-08-25
C-039,Cypher Digital,23,-0.39,7,negative,19,74000,2025-05-06
C-040,Omega Analytics,9,0.26,3,neutral,37,131000,2025-06-19
C-041,Genesis Labs,2,0.73,0,positive,60,238000,2025-12-28
C-042,Vortex Solutions,34,-0.55,10,negative,11,64000,2025-03-18
C-043,Pioneer Tech,6,0.54,2,positive,51,185000,2025-10-22
C-044,Zenon Systems,17,-0.31,5,negative,24,82000,2025-05-29
C-045,Arcadia Corp,8,0.63,1,positive,56,202000,2025-11-15
C-046,Nexus Prime,43,-0.73,14,very_negative,4,53000,2025-02-03
C-047,Stellar Dynamics,11,0.21,3,neutral,32,139000,2025-07-11
C-048,Quantum Core,4,0.66,1,positive,58,215000,2025-12-07
C-049,Horizon Edge,27,-0.46,8,negative,14,77000,2025-04-09
C-050,Velocity Systems,9,0.29,3,neutral,38,127000,2025-06-23
C-051,Titan Forge,37,-0.59,11,very_negative,7,60000,2025-03-07
C-052,Phoenix Labs,5,0.49,2,positive,48,170000,2025-09-05
C-053,Cascade Digital,20,-0.36,6,negative,21,78000,2025-05-17
C-054,Apex Analytics,7,0.57,2,positive,53,191000,2025-10-29
