vendor_id,vendor_name,expected_delivery_date,actual_delivery_date,delay_days,defect_rate,contract_value,affected_customers
V-101,DeltaSteel,2025-02-10,2025-02-24,14,0.03,150000,"['C-001','C-003','C-011']"
V-102,InfiniParts,2025-02-08,2025-02-09,1,0.01,49000,"['C-002']"
V-103,SilverBolt,2025-02-13,2025-02-20,7,0.07,78000,"['C-005','C-003','C-016']"
V-104,TechCore Systems,2025-01-15,2025-01-15,0,0.005,245000,"['C-004','C-006','C-013']"
V-105,AlphaComponents,2025-02-05,2025-02-18,13,0.095,112000,"['C-007','C-021','C-032','C-067']"
V-106,PrecisionWorks,2025-01-20,2025-01-21,1,0.008,178000,"['C-008','C-012']"
V-107,GlobalSupply Co,2025-02-14,2025-02-15,1,0.012,95000,"['C-009']"
V-108,MegaForge Industries,2025-01-28,2025-02-15,18,0.11,298000,"['C-001','C-007','C-011','C-016','C-021','C-026']"
V-109,QuickShip Logistics,2025-02-01,2025-02-02,1,0.006,67000,"['C-010','C-015']"
V-110,Apex Materials,2025-01-25,2025-01-26,1,0.009,134000,"['C-014','C-019']"
V-111,NovaTech Parts,2025-02-12,2025-02-28,16,0.085,187000,"['C-005','C-016','C-026','C-036','C-046']"
V-112,SteelEdge Corp,2025-01-18,2025-01-19,1,0.007,156000,"['C-017','C-022']"
V-113,FastTrack Supply,2025-02-03,2025-02-04,1,0.01,89000,"['C-018','C-023']"
V-114,EliteComponents,2025-01-22,2025-01-22,0,0.004,201000,"['C-020','C-024','C-028']"
V-115,ProSupply Inc,2025-02-09,2025-02-10,1,0.011,76000,"['C-025']"
V-116,MaxParts Ltd,2025-01-30,2025-02-11,12,0.068,143000,"['C-003','C-011','C-021','C-032']"
V-117,SwiftDeliver,2025-02-06,2025-02-07,1,0.008,54000,"['C-027']"
V-118,IronWorks Co,2025-01-24,2025-01-25,1,0.013,167000,"['C-029','C-031']"
V-119,RapidSource,2025-02-11,2025-02-12,1,0.009,91000,"['C-030']"
V-120,UltraTech Manufacturing,2025-02-02,2025-02-03,1,0.007,128000,"['C-033','C-038']"
V-121,CrystalClear Components,2025-01-16,2025-02-08,23,0.142,219000,"['C-007','C-016','C-021','C-032','C-046','C-056','C-067']"
V-122,SpeedyParts,2025-02-04,2025-02-05,1,0.012,63000,"['C-034']"
V-123,MasterForge,2025-01-19,2025-01-20,1,0.006,189000,"['C-035','C-039','C-042']"
V-124,DiamondSupply,2025-02-07,2025-02-08,1,0.01,72000,"['C-037']"
V-125,PrimeComponents,2025-01-27,2025-01-28,1,0.008,145000,"['C-040','C-044']"
V-126,TitanMaterials,2025-02-15,2025-03-01,14,0.076,203000,"['C-005','C-011','C-026','C-041']"
V-127,VelocitySupply,2025-02-01,2025-02-02,1,0.011,58000,"['C-043']"
V-128,OptimalParts,2025-01-23,2025-01-24,1,0.009,176000,"['C-045','C-048']"
V-129,MegaSupply Hub,2025-02-10,2025-02-11,1,0.007,94000,"['C-047']"
V-130,NexGen Components,2025-01-29,2025-01-30,1,0.013,159000,"['C-049','C-052']"
V-131,SuperiorMaterials,2025-02-13,2025-02-14,1,0.008,81000,"['C-050']"
V-132,FlashSource,2025-02-05,2025-02-06,1,0.01,69000,"['C-051']"
V-133,RockSolid Supply,2025-01-17,2025-01-18,1,0.006,192000,"['C-053','C-055','C-059']"
V-134,ZenithParts,2025-02-08,2025-02-09,1,0.012,77000,"['C-054']"
V-135,PlatinumComponents,2025-01-26,2025-01-27,1,0.009,164000,"['C-057','C-060']"
V-136,ThunderSupply,2025-02-12,2025-03-05,21,0.125,234000,"['C-016','C-026','C-036','C-046','C-056','C-066','C-076']"
V-137,AgileSource,2025-02-03,2025-02-04,1,0.011,62000,"['C-058']"
V-138,PowerForge,2025-01-21,2025-01-22,1,0.007,181000,"['C-061','C-064']"
V-139,QuantumMaterials,2025-02-06,2025-02-07,1,0.014,88000,"['C-062']"
V-140,DynamicSupply,2025-01-31,2025-02-01,1,0.008,73000,"['C-063']"
V-141,InfiniteComponents,2025-02-14,2025-02-15,1,0.01,156000,"['C-065','C-068']"
V-142,BlazeSource,2025-02-02,2025-02-03,1,0.009,91000,"['C-069']"
V-143,CoreMaterials,2025-01-25,2025-01-26,1,0.012,147000,"['C-070','C-073']"
V-144,PeakSupply,2025-02-09,2025-02-10,1,0.006,84000,"['C-071']"
V-145,VanguardParts,2025-01-28,2025-01-29,1,0.011,169000,"['C-072','C-075']"
V-146,OmegaComponents,2025-02-11,2025-02-26,15,0.088,198000,"['C-021','C-032','C-046','C-067','C-074']"
