contract_id,customer_id,vendor_id,service_level_days,penalty_clause
CTR-001,C-001,V-101,7,5% credit if delivery >7 days
CTR-002,C-001,V-108,10,10% credit if delivery >10 days
CTR-003,C-001,V-450,7,5% credit if delivery >7 days
CTR-004,C-002,V-102,5,3% credit if delivery >5 days
CTR-005,C-003,V-101,7,5% credit if delivery >7 days
CTR-006,C-003,V-103,10,8% credit if delivery >10 days
CTR-007,C-003,V-116,7,5% credit if delivery >7 days
CTR-008,C-004,V-104,14,No penalty - strategic partner
CTR-009,C-004,V-451,14,No penalty - strategic partner
CTR-010,C-005,V-103,10,8% credit if delivery >10 days
CTR-011,C-005,V-111,10,10% credit if delivery >10 days
CTR-012,C-005,V-126,7,7% credit if delivery >7 days
CTR-013,C-006,V-104,14,No penalty - strategic partner
CTR-014,C-007,V-105,10,12% credit if delivery >10 days + defect penalty
CTR-015,C-007,V-108,10,10% credit if delivery >10 days
CTR-016,C-007,V-121,14,15% credit if delivery >14 days
CTR-017,C-008,V-106,5,4% credit if delivery >5 days
CTR-018,C-008,V-452,5,4% credit if delivery >5 days
CTR-019,C-009,V-107,7,6% credit if delivery >7 days
CTR-020,C-010,V-109,3,2% credit if delivery >3 days
CTR-021,C-010,V-450,7,5% credit if delivery >7 days
CTR-022,C-011,V-101,7,5% credit if delivery >7 days
CTR-023,C-011,V-108,10,10% credit if delivery >10 days
CTR-024,C-011,V-116,7,5% credit if delivery >7 days
CTR-025,C-011,V-126,7,7% credit if delivery >7 days
CTR-026,C-012,V-106,5,4% credit if delivery >5 days
CTR-027,C-012,V-453,5,4% credit if delivery >5 days
CTR-028,C-013,V-104,14,No penalty - strategic partner
CTR-029,C-014,V-110,7,5% credit if delivery >7 days
CTR-030,C-014,V-454,7,5% credit if delivery >7 days
CTR-031,C-015,V-109,3,2% credit if delivery >3 days
CTR-032,C-016,V-103,10,8% credit if delivery >10 days
CTR-033,C-016,V-108,10,10% credit if delivery >10 days
CTR-034,C-016,V-111,10,10% credit if delivery >10 days
CTR-035,C-016,V-121,14,15% credit if delivery >14 days
CTR-036,C-016,V-136,14,12% credit if delivery >14 days
CTR-037,C-017,V-112,5,3% credit if delivery >5 days
CTR-038,C-017,V-455,7,5% credit if delivery >7 days
CTR-039,C-018,V-113,5,4% credit if delivery >5 days
CTR-040,C-019,V-110,7,5% credit if delivery >7 days
CTR-041,C-019,V-456,14,15% credit if delivery >14 days + quality penalties
CTR-042,C-020,V-114,10,No penalty - premium tier
CTR-043,C-020,V-453,5,4% credit if delivery >5 days
CTR-044,C-021,V-105,10,12% credit if delivery >10 days + defect penalty
CTR-045,C-021,V-108,10,10% credit if delivery >10 days
CTR-046,C-021,V-116,7,5% credit if delivery >7 days
CTR-047,C-021,V-121,14,15% credit if delivery >14 days
CTR-048,C-021,V-146,10,10% credit if delivery >10 days
CTR-049,C-022,V-112,5,3% credit if delivery >5 days
CTR-050,C-022,V-457,7,6% credit if delivery >7 days
CTR-051,C-023,V-113,5,4% credit if delivery >5 days
CTR-052,C-024,V-114,10,No penalty - premium tier
CTR-053,C-024,V-455,7,5% credit if delivery >7 days
CTR-054,C-025,V-115,7,5% credit if delivery >7 days
CTR-055,C-025,V-458,7,5% credit if delivery >7 days
CTR-056,C-026,V-108,10,10% credit if delivery >10 days
CTR-057,C-026,V-111,10,10% credit if delivery >10 days
CTR-058,C-026,V-126,7,7% credit if delivery >7 days
CTR-059,C-026,V-136,14,12% credit if delivery >14 days
CTR-060,C-026,V-161,14,15% credit if delivery >14 days
CTR-061,C-027,V-117,5,4% credit if delivery >5 days
CTR-062,C-028,V-114,10,No penalty - premium tier
CTR-063,C-028,V-459,7,6% credit if delivery >7 days
CTR-064,C-029,V-118,5,3% credit if delivery >5 days
CTR-065,C-029,V-460,7,5% credit if delivery >7 days
CTR-066,C-030,V-119,5,4% credit if delivery >5 days
CTR-067,C-031,V-118,5,3% credit if delivery >5 days
CTR-068,C-031,V-458,7,5% credit if delivery >7 days
CTR-069,C-032,V-105,10,12% credit if delivery >10 days + defect penalty
CTR-070,C-032,V-116,7,5% credit if delivery >7 days
CTR-071,C-032,V-121,14,15% credit if delivery >14 days
CTR-072,C-032,V-146,10,10% credit if delivery >10 days
CTR-073,C-032,V-181,14,15% credit if delivery >14 days
CTR-074,C-033,V-120,7,5% credit if delivery >7 days
CTR-075,C-033,V-461,7,5% credit if delivery >7 days
CTR-076,C-034,V-122,5,4% credit if delivery >5 days
CTR-077,C-035,V-123,7,4% credit if delivery >7 days
CTR-078,C-035,V-460,7,5% credit if delivery >7 days
CTR-079,C-036,V-111,10,10% credit if delivery >10 days
CTR-080,C-036,V-136,14,12% credit if delivery >14 days
CTR-081,C-036,V-161,14,15% credit if delivery >14 days
CTR-082,C-037,V-124,5,4% credit if delivery >5 days
CTR-083,C-037,V-462,7,6% credit if delivery >7 days
CTR-084,C-038,V-120,7,5% credit if delivery >7 days
CTR-085,C-039,V-123,7,4% credit if delivery >7 days
CTR-086,C-039,V-463,7,5% credit if delivery >7 days
CTR-087,C-040,V-125,7,5% credit if delivery >7 days
CTR-088,C-041,V-126,7,7% credit if delivery >7 days
CTR-089,C-041,V-464,7,6% credit if delivery >7 days
CTR-090,C-042,V-123,7,4% credit if delivery >7 days
CTR-091,C-043,V-127,5,4% credit if delivery >5 days
CTR-092,C-044,V-125,7,5% credit if delivery >7 days
CTR-093,C-044,V-465,7,6% credit if delivery >7 days
CTR-094,C-045,V-128,7,5% credit if delivery >7 days
CTR-095,C-045,V-463,7,5% credit if delivery >7 days
CTR-096,C-046,V-111,10,10% credit if delivery >10 days
CTR-097,C-046,V-121,14,15% credit if delivery >14 days
CTR-098,C-046,V-136,14,12% credit if delivery >14 days
CTR-099,C-046,V-146,10,10% credit if delivery >10 days
CTR-100,C-046,V-161,14,15% credit if delivery >14 days
CTR-101,C-046,V-181,14,15% credit if delivery >14 days
CTR-102,C-046,V-196,14,18% credit if delivery >14 days + quality
CTR-103,C-046,V-211,14,12% credit if delivery >14 days
CTR-104,C-046,V-231,21,20% credit if delivery >21 days
CTR-105,C-046,V-246,14,10% credit if delivery >14 days
CTR-106,C-047,V-129,5,4% credit if delivery >5 days
CTR-107,C-047,V-466,14,18% credit if delivery >14 days
CTR-108,C-048,V-128,7,5% credit if delivery >7 days
CTR-109,C-049,V-130,7,6% credit if delivery >7 days
CTR-110,C-049,V-465,7,6% credit if delivery >7 days
CTR-111,C-050,V-131,7,5% credit if delivery >7 days
CTR-112,C-050,V-467,7,5% credit if delivery >7 days
CTR-113,C-051,V-132,5,4% credit if delivery >5 days
CTR-114,C-052,V-130,7,6% credit if delivery >7 days
CTR-115,C-052,V-466,14,18% credit if delivery >14 days
CTR-116,C-053,V-133,7,4% credit if delivery >7 days
CTR-117,C-053,V-468,7,6% credit if delivery >7 days
CTR-118,C-054,V-134,5,4% credit if delivery >5 days
CTR-119,C-055,V-133,7,4% credit if delivery >7 days
CTR-120,C-055,V-469,7,5% credit if delivery >7 days
CTR-121,C-056,V-121,14,15% credit if delivery >14 days
CTR-122,C-056,V-136,14,12% credit if delivery >14 days
CTR-123,C-056,V-161,14,15% credit if delivery >14 days
CTR-124,C-056,V-181,14,15% credit if delivery >14 days
CTR-125,C-056,V-196,14,18% credit if delivery >14 days + quality
CTR-126,C-056,V-211,14,12% credit if delivery >14 days
CTR-127,C-056,V-231,21,20% credit if delivery >21 days
CTR-128,C-057,V-135,7,5% credit if delivery >7 days
CTR-129,C-057,V-470,7,7% credit if delivery >7 days
CTR-130,C-058,V-137,5,4% credit if delivery >5 days
CTR-131,C-059,V-133,7,4% credit if delivery >7 days
CTR-132,C-059,V-471,7,6% credit if delivery >7 days
CTR-133,C-060,V-135,7,5% credit if delivery >7 days
CTR-134,C-060,V-468,7,6% credit if delivery >7 days
CTR-135,C-061,V-138,7,5% credit if delivery >7 days
CTR-136,C-061,V-472,7,5% credit if delivery >7 days
CTR-137,C-062,V-139,7,6% credit if delivery >7 days
CTR-138,C-063,V-140,5,4% credit if delivery >5 days
CTR-139,C-063,V-470,7,7% credit if delivery >7 days
CTR-140,C-064,V-138,7,5% credit if delivery >7 days
CTR-141,C-064,V-473,7,6% credit if delivery >7 days
CTR-142,C-065,V-141,7,5% credit if delivery >7 days
CTR-143,C-066,V-136,14,12% credit if delivery >14 days
CTR-144,C-066,V-474,7,6% credit if delivery >7 days
CTR-145,C-067,V-105,10,12% credit if delivery >10 days + defect penalty
CTR-146,C-067,V-121,14,15% credit if delivery >14 days
CTR-147,C-067,V-146,10,10% credit if delivery >10 days
CTR-148,C-067,V-181,14,15% credit if delivery >14 days
CTR-149,C-067,V-196,14,18% credit if delivery >14 days + quality
CTR-150,C-067,V-211,14,12% credit if delivery >14 days
CTR-151,C-067,V-231,21,20% credit if delivery >21 days
CTR-152,C-068,V-141,7,5% credit if delivery >7 days
CTR-153,C-068,V-475,7,5% credit if delivery >7 days
CTR-154,C-069,V-142,5,4% credit if delivery >5 days
CTR-155,C-069,V-476,21,25% credit if delivery >21 days + extensive quality penalties
CTR-156,C-070,V-143,7,6% credit if delivery >7 days
CTR-157,C-070,V-473,7,6% credit if delivery >7 days
CTR-158,C-071,V-144,5,3% credit if delivery >5 days
CTR-159,C-071,V-477,7,6% credit if delivery >7 days
CTR-160,C-072,V-145,7,6% credit if delivery >7 days
CTR-161,C-073,V-143,7,6% credit if delivery >7 days
CTR-162,C-073,V-475,7,5% credit if delivery >7 days
CTR-163,C-074,V-146,10,10% credit if delivery >10 days
CTR-164,C-075,V-145,7,6% credit if delivery >7 days
CTR-165,C-075,V-476,21,25% credit if delivery >21 days + extensive quality penalties
CTR-166,C-076,V-136,14,12% credit if delivery >14 days
CTR-167,C-076,V-161,14,15% credit if delivery >14 days
CTR-168,C-076,V-181,14,15% credit if delivery >14 days
CTR-169,C-076,V-196,14,18% credit if delivery >14 days + quality
CTR-170,C-076,V-211,14,12% credit if delivery >14 days
CTR-171,C-076,V-231,21,20% credit if delivery >21 days
CTR-172,C-076,V-246,14,10% credit if delivery >14 days
CTR-173,C-077,V-147,5,4% credit if delivery >5 days
CTR-174,C-077,V-478,7,4% credit if delivery >7 days
CTR-175,C-078,V-148,7,6% credit if delivery >7 days
CTR-176,C-079,V-149,7,5% credit if delivery >7 days
CTR-177,C-079,V-479,7,7% credit if delivery >7 days
CTR-178,C-080,V-150,7,5% credit if delivery >7 days
CTR-179,C-080,V-480,7,6% credit if delivery >7 days
CTR-180,C-081,V-148,7,6% credit if delivery >7 days
CTR-181,C-082,V-151,7,5% credit if delivery >7 days
CTR-182,C-082,V-476,21,25% credit if delivery >21 days + extensive quality penalties
CTR-183,C-083,V-150,7,5% credit if delivery >7 days
CTR-184,C-083,V-478,7,4% credit if delivery >7 days
CTR-185,C-084,V-152,5,4% credit if delivery >5 days
CTR-186,C-084,V-481,7,5% credit if delivery >7 days
CTR-187,C-085,V-153,7,4% credit if delivery >7 days
CTR-188,C-086,V-154,5,4% credit if delivery >5 days
CTR-189,C-086,V-482,7,6% credit if delivery >7 days
CTR-190,C-087,V-155,7,5% credit if delivery >7 days
CTR-191,C-087,V-480,7,6% credit if delivery >7 days
CTR-192,C-088,V-153,7,4% credit if delivery >7 days
CTR-193,C-088,V-483,7,6% credit if delivery >7 days
CTR-194,C-089,V-156,7,6% credit if delivery >7 days
CTR-195,C-090,V-155,7,5% credit if delivery >7 days
CTR-196,C-090,V-484,7,5% credit if delivery >7 days
CTR-197,C-091,V-157,5,4% credit if delivery >5 days
CTR-198,C-092,V-158,7,5% credit if delivery >7 days
CTR-199,C-092,V-485,7,6% credit if delivery >7 days
CTR-200,C-093,V-159,7,6% credit if delivery >7 days
CTR-201,C-093,V-486,21,28% credit if delivery >21 days + comprehensive penalties
CTR-202,C-094,V-160,7,5% credit if delivery >7 days
CTR-203,C-094,V-483,7,6% credit if delivery >7 days
CTR-204,C-095,V-158,7,5% credit if delivery >7 days
CTR-205,C-095,V-487,7,4% credit if delivery >7 days
CTR-206,C-096,V-161,14,15% credit if delivery >14 days
CTR-207,C-097,V-160,7,5% credit if delivery >7 days
CTR-208,C-097,V-485,7,6% credit if delivery >7 days
CTR-209,C-098,V-162,5,4% credit if delivery >5 days
CTR-210,C-098,V-488,7,7% credit if delivery >7 days
CTR-211,C-099,V-163,7,6% credit if delivery >7 days
CTR-212,C-099,V-486,21,28% credit if delivery >21 days + comprehensive penalties
CTR-213,C-100,V-164,5,4% credit if delivery >5 days
CTR-214,C-100,V-489,7,6% credit if delivery >7 days
CTR-215,C-101,V-163,7,6% credit if delivery >7 days
CTR-216,C-101,V-490,7,5% credit if delivery >7 days
CTR-217,C-102,V-165,7,6% credit if delivery >7 days
CTR-218,C-102,V-181,14,15% credit if delivery >14 days
CTR-219,C-102,V-196,14,18% credit if delivery >14 days + quality
CTR-220,C-102,V-211,14,12% credit if delivery >14 days
CTR-221,C-102,V-231,21,20% credit if delivery >21 days
CTR-222,C-102,V-246,14,10% credit if delivery >14 days
CTR-223,C-102,V-261,21,18% credit if delivery >21 days
CTR-224,C-103,V-166,5,4% credit if delivery >5 days
CTR-225,C-103,V-488,7,7% credit if delivery >7 days
CTR-226,C-104,V-167,7,6% credit if delivery >7 days
CTR-227,C-104,V-491,7,6% credit if delivery >7 days
CTR-228,C-105,V-165,7,6% credit if delivery >7 days
CTR-229,C-105,V-486,21,28% credit if delivery >21 days + comprehensive penalties
CTR-230,C-106,V-168,7,5% credit if delivery >7 days
CTR-231,C-106,V-492,7,6% credit if delivery >7 days
CTR-232,C-107,V-169,5,4% credit if delivery >5 days
CTR-233,C-108,V-170,7,5% credit if delivery >7 days
CTR-234,C-108,V-490,7,5% credit if delivery >7 days
CTR-235,C-109,V-168,7,5% credit if delivery >7 days
CTR-236,C-109,V-493,7,5% credit if delivery >7 days
CTR-237,C-110,V-171,7,6% credit if delivery >7 days
CTR-238,C-111,V-170,7,5% credit if delivery >7 days
CTR-239,C-111,V-486,21,28% credit if delivery >21 days + comprehensive penalties
CTR-240,C-112,V-172,5,3% credit if delivery >5 days
CTR-241,C-112,V-494,7,6% credit if delivery >7 days
CTR-242,C-113,V-173,7,6% credit if delivery >7 days
CTR-243,C-113,V-495,7,4% credit if delivery >7 days
CTR-244,C-114,V-174,7,6% credit if delivery >7 days
CTR-245,C-114,V-496,21,24% credit if delivery >21 days
CTR-246,C-115,V-175,7,5% credit if delivery >7 days
CTR-247,C-116,V-173,7,6% credit if delivery >7 days
CTR-248,C-116,V-493,7,5% credit if delivery >7 days
CTR-249,C-117,V-176,7,5% credit if delivery >5 days
CTR-250,C-117,V-497,7,7% credit if delivery >7 days
CTR-251,C-118,V-175,7,5% credit if delivery >7 days
CTR-252,C-118,V-495,7,4% credit if delivery >7 days
CTR-253,C-119,V-177,5,4% credit if delivery >5 days
CTR-254,C-120,V-178,7,5% credit if delivery >7 days
CTR-255,C-120,V-496,21,24% credit if delivery >21 days
CTR-256,C-121,V-196,14,18% credit if delivery >14 days + quality
CTR-257,C-121,V-231,21,20% credit if delivery >21 days
CTR-258,C-121,V-261,21,18% credit if delivery >21 days
CTR-259,C-121,V-281,21,26% credit if delivery >21 days
CTR-260,C-122,V-180,7,6% credit if delivery >7 days
CTR-261,C-122,V-498,7,6% credit if delivery >7 days
CTR-262,C-123,V-178,7,5% credit if delivery >7 days
CTR-263,C-123,V-499,7,5% credit if delivery >7 days
CTR-264,C-124,V-181,14,15% credit if delivery >14 days
CTR-265,C-125,V-180,7,6% credit if delivery >7 days
CTR-266,C-125,V-496,21,24% credit if delivery >21 days
CTR-267,C-126,V-182,5,4% credit if delivery >5 days
CTR-268,C-126,V-500,7,6% credit if delivery >7 days
CTR-269,C-127,V-183,7,6% credit if delivery >7 days
CTR-270,C-127,V-498,7,6% credit if delivery >7 days
CTR-271,C-128,V-184,5,4% credit if delivery >5 days
CTR-272,C-129,V-185,7,6% credit if delivery >7 days
CTR-273,C-129,V-500,7,6% credit if delivery >7 days
